#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A374FA
#Date Time: 2023-12-01 11:28:46.931
#Start: 50 Hz
#Stop: 100000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.44986 V
#Offset: -0.000129861 V
#Relative: no
#Channel: Channel 2
#Range: 5.45616 V
#Offset: -0.00028489 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
50.00000000000004,-0.01078153416827848,-0.01674192987108111,-3.735918377535612
52.59892532712838,-0.01061664984059517,-0.01875562558845106,-3.928731424298988
55.33293891137646,-0.01030462839570194,-0.02096723149378624,-4.133034690871838
58.20906243860089,-0.01050070045802159,-0.02335577078717812,-4.347315495607972
61.23468257140239,-0.01045857537980581,-0.02606761383506009,-4.570928435365929
64.41756992007203,-0.01046947655048226,-0.02914205201544468,-4.80699825179623
67.76589899961876,-0.01057148859319432,-0.03252775083474237,-5.055467571243447
71.28826922413329,-0.01030403384797206,-0.03634686027633521,-5.317655801181289
74.99372699240817,-0.01008064245881725,-0.04053614804426117,-5.591063884164953
78.89178892153453,-0.01016031591074468,-0.04488673471408409,-5.879862446891636
82.99246628814731,-0.01026718572997483,-0.04968971383020311,-6.182039758722908
87.30629074008954,-0.01033874712540492,-0.0551436882766836,-6.50054257867734
91.84434134453042,-0.01037695063986287,-0.06110550497074177,-6.833769948165995
96.61827304200484,-0.01044157131782792,-0.06777894494917716,-7.186379401986358
101.6403465794502,-0.01020344916161381,-0.07519169113816172,-7.555443292751605
106.9234599991189,-0.01058813401445704,-0.08321178841984862,-7.942095282499679
112.481181764237,-0.009921547304191106,-0.0920329803002613,-8.348237850200391
118.3277856064849,-0.01027058417852863,-0.1022982148381538,-8.775851775324275
124.4782871847991,-0.01061144623842438,-0.1129900191190421,-9.224606782531097
130.9484826496416,-0.01032189714193589,-0.1250374924779792,-9.693074561594869
137.7549892117851,-0.01075783432544973,-0.1380786420767113,-10.18725290228964
144.9152878198011,-0.01049959352411002,-0.1529148964548792,-10.7038334933676
152.4477680558608,-0.01061097397035563,-0.1687972680013244,-11.2448614919922
160.3717753651518,-0.01057024313444402,-0.1866087853954978,-11.81170818851163
168.7076607402124,-0.01054087368813534,-0.2061382427193324,-12.40689310773667
177.4768329877786,-0.01087605178067192,-0.2275583834581455,-13.02914353947376
186.7018137123879,-0.01076778329034897,-0.2511676454078844,-13.68203348808893
196.4062951579463,-0.01093764781926087,-0.2770154196326645,-14.3618849567563
206.6152010558149,-0.01092916448371773,-0.305830468219589,-15.07384141157483
217.3547506356884,-0.0111421228541755,-0.3374509586141706,-15.81877758035903
228.6525259636632,-0.01116414349750527,-0.3718963264108869,-16.59452776040175
240.53754278044,-0.01121378762998636,-0.4099113967788516,-17.40431460920382
253.040325021586,-0.0117977980428626,-0.451004813281894,-18.25006645585918
266.1929832112537,-0.01165534722858872,-0.4965199178909477,-19.12761287811571
280.0292969306853,-0.01157386724644695,-0.5460924525780502,-20.0428089344893
294.5848015733073,-0.01200078219621204,-0.6002173614578207,-20.99182035307578
309.8968796092259,-0.01139094317497889,-0.6598936348945096,-21.97976510270654
326.0048565935151,-0.01162779653941004,-0.7248646647420094,-23.00323334811816
342.9501021648697,-0.01181933654684202,-0.7946833121536616,-24.06332961272579
360.77613629402,-0.0120595585478947,-0.8714916116931284,-25.15900988645905
379.5287410547807,-0.01272922842005442,-0.9546101283711177,-26.290606211946
399.2560782047888,-0.012498290916778,-1.044907268791931,-27.45907736033009
420.0088128779159,-0.01243303979336272,-1.142768872605281,-28.65940827792542
441.8402437060259,-0.01285969527402903,-1.248396472606646,-29.89428665458627
464.806439704269,-0.01293346118917213,-1.362161859017254,-31.15832571604329
488.9663842714645,-0.01276277420138188,-1.484571517888021,-32.4537841839222
514.3821266754142,-0.01321270039467077,-1.616606908154867,-33.77592329410707
541.1189414121915,-0.01375618479318158,-1.757526439789105,-35.12655570504835
569.2454958486919,-0.01339227108951589,-1.908721257518083,-36.49589644426487
598.8340265789893,-0.01296089301341398,-2.070034488088432,-37.88951159145762
629.9605249474363,-0.01357047340646236,-2.241692829854495,-39.29553670551408
662.7049322149761,-0.01410136203929884,-2.423418472980377,-40.7200228775331
697.1513448699036,-0.01392219523057337,-2.616033572323313,-42.14909713460838
733.3882306103825,-0.01472009754874084,-2.820494975181004,-43.58998618184926
771.5086555534057,-0.01423344472425232,-3.035423449191574,-45.0312438776856
811.6105232537354,-0.01447130163777879,-3.26145315048467,-46.47427215125754
853.7968261466949,-0.01496487882256558,-3.498535584369546,-47.91058468859777
898.1759100605836,-0.01587867251313873,-3.74634687016041,-49.34454662770885
944.8617524780447,-0.01549597295852564,-4.005315930914048,-50.75660967773453
993.9742552610448,-0.01491731775374062,-4.274720684249005,-52.16036829226081
1045.639552591274,-0.01507696685397598,-4.553955897092696,-53.54862522000422
1099.990334916806,-0.01539870440954371,-4.844405925731998,-54.90731522505692
1157.166189737039,-0.01471315779346866,-5.143808747871478,-56.25279409791818
1217.313960101122,-0.01542702588887196,-5.453481293454914,-57.56251074172921
1280.588121740597,-0.01547015125616106,-5.770602843133409,-58.85288216733023
1347.151179804823,-0.0156325290584759,-6.097339872880479,-60.10660966322319
1417.174086218134,-0.01579649608272946,-6.432213043338686,-61.33019406117187
1490.836678730579,-0.01515472794164423,-6.775107172896753,-62.52050536192624
1568.328142789876,-0.01565778149342091,-7.12447142442984,-63.67560373606311
1649.84749742077,-0.01508413555907905,-7.481817873846857,-64.79662029708197
1735.604106359693,-0.01552539444335679,-7.84511705150127,-65.8759229116754
1825.818215757417,-0.01616139521106923,-8.214395009910916,-66.92809995481988
1920.721519830699,-0.01509044737496056,-8.588247214890563,-67.93695807433191
2020.557755915668,-0.01525877074766668,-8.96890858625312,-68.90836947730638
2125.583330451165,-0.01515145309392523,-9.354467550832567,-69.85032993801289
2236.067977499791,-0.01464086540827273,-9.743362521727505,-70.75374658177931
2352.295451497888,-0.01333120617299452,-10.13692298177826,-71.62175466580034
2474.56425601362,-0.01472915248138486,-10.53605201467229,-72.45254694625183
2603.188410384826,-0.0134309891023622,-10.93767638929299,-73.2494487414494
2738.498256205545,-0.01250320241914922,-11.34113618501329,-74.0190056566918
2880.841305732534,-0.01321489849868508,-11.74838570571274,-74.75135849856173
3030.583134390649,-0.01235119252121738,-12.15958532986379,-75.44495962676251
3188.108319669363,-0.01121495952927595,-12.57283171456369,-76.11311626711665
3353.82142882171,-0.01064168646101319,-12.98928791734017,-76.75249312010709
3528.148057902321,-0.01041050171251625,-13.40491104746199,-77.36816213155592
3711.535924813137,-0.01057345429481571,-13.82469587162421,-77.95161706537644
3904.456019164011,-0.01081313701206398,-14.24261647013081,-78.51196205072578
4107.403811901288,-0.008816807870431423,-14.66707693952649,-79.04483447512099
4320.900527811163,-0.008033189263329191,-15.09214195763537,-79.53370278527693
4545.494484165778,-0.008262097223630806,-15.51572153146744,-80.04214220070355
4781.762498950186,-0.005423503264341515,-15.94222323827394,-80.47846878690956
5030.311372286868,-0.005584802168097289,-16.36808892543965,-80.93163032436766
5291.779444862427,-0.0048538203571056,-16.80065305162141,-81.34054422888627
5566.83823735903,-0.009671943102738096,-17.22737321260535,-81.73037597094981
5856.194175101007,-0.003218847610499942,-17.65735300990762,-82.12675831100375
6160.590402346034,0.0001646330757931166,-18.08814498763642,-82.49772932942346
6480.808690880452,-0.01046668854428626,-18.51938099027796,-82.83190399954029
6817.671447820501,0.0009195836744761591,-18.95266731612826,-83.13866847757915
7172.04382777611,-0.007490819923605641,-19.38650483462508,-83.47078967284868
7544.835954801747,0.002599819572498126,-19.81739434020962,-83.75695637848163
7937.005259840996,0.00497487694435011,-20.24989501163368,-84.06691484645927
8349.558939668032,-0.000611699100716384,-20.68258676303717,-84.29104843873955
8783.556543641114,-0.003013890067716696,-21.12121529973684,-84.57158940728442
9240.112694911761,0.005931526693310136,-21.55984240328074,-84.8095745135163
9720.399953078291,0.00895528595314243,-21.9974097681727,-85.0342553840176
10225.65182563573,0.01021999903295942,-22.42678542692328,-85.24079046852145
10757.16593595655,0.01177263162243191,-22.8631282801385,-85.44985460618808
11316.30735593814,0.01164001533072662,-23.28943690681859,-85.67255767508799
11904.51211187646,0.007356409103603537,-23.73491217680547,-85.8123846188048
12523.2908725697,0.008250502121149264,-24.17036465578352,-86.01194101462093
13174.23282912402,0.0166353329995771,-24.60421644626394,-86.20929658168785
13859.00977642595,0.01662795187804033,-25.04837458421091,-86.3504497187983
14579.3804067634,0.0183283385677909,-25.4622402254365,-86.500683756675
15337.19482662291,0.01736374934740934,-25.90328449898529,-86.65781635031473
16134.39930826316,0.02103107650556718,-26.3408198039809,-86.69716745746095
16973.0412882681,0.01976454431165844,-26.78510182929827,-86.84432061884715
17855.27462591758,0.02161837146014182,-27.22026501548698,-87.05947303659244
18783.36513488017,0.02324168891713788,-27.65519174339361,-87.17953593264076
19759.69640243495,0.02502851286414801,-28.09005913551104,-87.29095097878093
20786.77591116805,0.02433646529026283,-28.52769171101808,-87.48410673926651
21867.24147886557,0.02594981697399227,-28.97346050645865,-87.49583094578873
23003.86803314266,0.02702666154799487,-29.38407673109035,-87.65042649861543
24199.57473820771,0.02936775328351696,-29.82693416572357,-87.78976553717501
25457.43249206496,0.028802652685334,-30.26001794322604,-87.8372494386302
26780.67181341071,0.02168067500022513,-30.70578916668109,-87.94468714400796
28172.69113847842,0.03216839206349729,-31.13910233743078,-87.85478316784798
29637.06554914151,0.03264931093405243,-31.57851482583106,-88.12390875064615
31177.55595469005,0.03463289768020226,-32.00266670379187,-88.0874647326996
32798.11875086215,0.03561382856528546,-32.47628906654766,-88.14629572257294
34502.9159809377,0.03600973195691956,-32.91880437298222,-88.16140071085816
36296.32602499051,0.03979877635709657,-33.30773580114377,-88.11925955944986
38182.95484475158,0.04278493823013794,-33.72241297625009,-88.63530876770349
40167.64781296405,0.03372128073315887,-34.19297918757492,-88.25789721054232
42255.50215760973,0.04428099711227523,-34.62025370428891,-88.52121296305688
44451.88005296846,0.04741903031009954,-35.03762803359652,-88.60191095438761
46762.42239113108,0.05007643328281663,-35.49425876854775,-88.35141962475042
49193.06326933472,0.05116688802967496,-35.94981346695777,-89.05305537839831
51750.04523032875,0.05258286706493955,-36.35616427497328,-88.42301823739558
54439.93529491152,0.05515627278965866,-36.79463374826638,-88.60064039823521
57269.64182781496,0.05743788999450926,-37.24700847725371,-88.67286306677079
60246.43228025251,0.0597851920023364,-37.64029038384782,-88.22204659517716
63377.95185469787,0.06178099844823938,-38.05996679209019,-88.88046546168543
66672.24313983177,0.06035074759437589,-38.49812534512186,-89.12319923803649
70137.76676608314,0.06929338831083715,-38.97975278373668,-88.80488955752499
73783.42313481496,0.0721950478546886,-39.48971587238199,-89.09652941766853
77618.57527696094,0.07340517666074675,-39.82559548964145,-89.71013802913716
81653.07289981916,0.07475665665119662,-40.25305114626164,-89.61132805589804
85897.27768376304,0.07813990912092897,-40.66178370912703,-88.67878500343149
90362.08989383721,0.07982848175051077,-41.06611900078797,-89.1832828874899
95058.97637458397,0.08074820440900007,-41.53752183537819,-88.77776708372156
100000,0.08087122217849455,-42.03674939161262,-89.3096585780296
